Height Variety
6.992 2
5.052 2
5.639 1
6.803 2
4.784 1
3.96 1
10.458 2
4.55 1
5.285 2
4.304 1
3.719 1
10.097 2
6.827 2
3.431 1
3.136 1
4.201 2
11.386 2
8.821 2
4.815 1
6.929 1
5.003 1
8.609 2
3.288 1
9.963 2
3.644 2
3.693 1
4.227 1
8.869 2
9.56 2
7.797 2
4.227 1
7.803 2
3.414 1
6.262 2
5.502 1
8.147 2
9.625 2
9.811 2
4.599 2
5.362 1
6.183 2
9.944 2
3.374 1
8.095 2
5.289 2
5.237 1
4.517 1
9.688 2
8.856 2
8.753 2
8.535 2
4.326 1
5.411 1
7.405 2
10.079 2
5.613 2
8.019 2
9.818 2
8.387 2
7.226 2
5.282 1
8.128 2
9.698 2
10.17 2
4.771 1
10.922 2
6.232 2
9.33 2
11.907 2
10.543 2
6.093 2
7.653 2
2.814 1
6.583 2
3.05 1
3.553 1
3.889 1
7.531 2
3.167 1
6.145 2
6.586 1
4.775 1
3.582 1
6.143 2
9.688 2
3.608 1
9.335 2
5.855 2
8.712 2
7.755 2
4.769 1
6.366 2
5.188 2
5.405 1
9.941 2
6.572 2
7.652 2
8.579 2
9.409 2
6.812 2
12.691 2
8.718 2
10.714 2
11.418 2
4.516 1
2.809 1
10.841 2
3.577 1
5.117 1
7.343 2
3.696 1
4.374 2
11.317 2
5.631 1
9.196 2
6.917 1
3.868 1
11.065 2
3.565 1
5.36 1
8.964 2
8.167 2
10.123 2
1.837 1
9.229 2
9.663 2
11.187 2
6.033 1
7.23 2
8.365 2
8.669 2
8.556 2
6.059 2
9.856 2
6.914 2
4.249 1
5.177 2
10.212 2
5.158 2
1.748 1
4.697 1
7.887 2
8.25 2
3.695 1
4.274 1
4.08 1
8.596 2
3.925 1
6.861 2
2.008 1
3.33 1
4.405 1
6.271 2
8.562 2
3.589 1
3.344 1
4.6 1
5.117 2
8.386 2
10.19 2
7.99 2
10.237 2
9.188 2
11.623 2
3.936 1
11.561 2
9.511 2
12.19 2
5.376 1
7.944 2
5.91 2
3.506 1
10.416 2
8.793 2
8.304 2
3.939 1
3.881 1
6.808 2
3.511 1
8.972 2
7.578 2
5.293 2
2.99 1
8.542 2
13.338 2
8.852 2
7.019 2
9.323 2
4.042 1
3.195 1
9.139 2
12.087 2
