range int.conc
3.900000e+02 -5.035573e-02
3.915000e+02 -6.009706e-02
3.930000e+02 -4.190091e-02
3.945000e+02 -5.098470e-02
3.960000e+02 -5.991345e-02
3.975000e+02 -2.842392e-02
3.990000e+02 -5.958421e-02
4.005000e+02 -3.988881e-02
4.020000e+02 -2.939582e-02
4.035000e+02 -3.949445e-02
4.050000e+02 -4.764749e-02
4.065000e+02 -6.038000e-02
4.080000e+02 -3.123034e-02
4.095000e+02 -3.816584e-02
4.110000e+02 -7.562269e-02
4.125000e+02 -5.001751e-02
4.140000e+02 -4.572950e-02
4.155000e+02 -7.766966e-02
4.170000e+02 -2.460641e-02
4.185000e+02 -7.133184e-02
4.200000e+02 -1.320746e-02
4.215000e+02 -3.162615e-02
4.230000e+02 -3.247478e-02
4.245000e+02 -8.840797e-02
4.260000e+02 -7.024166e-02
4.275000e+02 -2.877263e-02
4.290000e+02 -3.696702e-02
4.305000e+02 -1.015625e-01
4.320000e+02 -6.831373e-02
4.335000e+02 -3.175751e-02
4.350000e+02 -5.336819e-02
4.365000e+02 -5.726381e-02
4.380000e+02 -2.295515e-02
4.395000e+02 -1.479166e-02
4.410000e+02 -2.531884e-02
4.425000e+02 -9.538944e-02
4.440000e+02 -8.126108e-02
4.455000e+02 -6.473801e-02
4.470000e+02 -4.940004e-02
4.485000e+02 -2.453983e-02
4.500000e+02 -4.223316e-03
4.515000e+02 -4.692908e-02
4.530000e+02 -7.264260e-02
4.545000e+02 -6.375497e-02
4.560000e+02 -4.867571e-02
4.575000e+02 -7.902194e-02
4.590000e+02 -5.508392e-02
4.605000e+02 -3.600915e-02
4.620000e+02 -8.198360e-03
4.635000e+02 -2.991638e-02
4.650000e+02 -5.904417e-02
4.665000e+02 -4.349076e-02
4.680000e+02 -1.083667e-01
4.695000e+02 -7.164495e-02
4.710000e+02 -1.080431e-01
4.725000e+02 -1.144756e-02
4.740000e+02 -9.066497e-02
4.755000e+02 -7.438849e-02
4.770000e+02 -8.880716e-02
4.785000e+02 -7.240130e-02
4.800000e+02 -3.941208e-02
4.815000e+02 -8.413698e-02
4.830000e+02 -4.477778e-02
4.845000e+02 -1.486651e-01
4.860000e+02 -8.027266e-02
4.875000e+02 -5.482479e-02
4.890000e+02 -1.202489e-02
4.905000e+02 1.934860e-02
4.920000e+02 -8.389427e-02
4.935000e+02 -4.157477e-02
4.950000e+02 -6.109121e-02
4.965000e+02 -6.044325e-02
4.980000e+02 -8.220186e-02
4.995000e+02 -7.530349e-02
5.010000e+02 -4.480991e-02
5.025000e+02 8.222156e-03
5.040000e+02 -6.758809e-02
5.055000e+02 -3.249946e-02
5.070000e+02 -2.198146e-02
5.085000e+02 -4.232621e-02
5.100000e+02 -7.785213e-02
5.115000e+02 -7.806195e-02
5.130000e+02 2.690717e-02
5.145000e+02 -9.226096e-02
5.160000e+02 -9.159045e-02
5.175000e+02 -4.001756e-03
5.190000e+02 -1.818933e-02
5.205000e+02 -2.527617e-02
5.220000e+02 -5.842499e-02
5.235000e+02 -5.257305e-02
5.250000e+02 -2.606248e-02
5.265000e+02 -1.180877e-01
5.280000e+02 -5.263110e-02
5.295000e+02 -4.135148e-02
5.310000e+02 -9.199134e-03
5.325000e+02 -8.336644e-02
5.340000e+02 -1.253334e-02
5.355000e+02 -6.290332e-02
5.370000e+02 -6.018018e-02
5.385000e+02 -1.035686e-01
5.400000e+02 -1.261166e-01
5.415000e+02 -3.887012e-02
5.430000e+02 -5.654984e-02
5.445000e+02 -7.444842e-02
5.460000e+02 -3.788664e-03
5.475000e+02 -9.203971e-02
5.490000e+02 -5.517356e-02
5.505000e+02 -1.004337e-01
5.520000e+02 -1.694380e-01
5.535000e+02 -6.414184e-02
5.550000e+02 -1.867348e-01
5.565000e+02 -9.086006e-02
5.580000e+02 -5.918714e-02
5.595000e+02 -8.103510e-02
5.610000e+02 -1.034776e-01
5.625000e+02 -6.567394e-02
5.640000e+02 -1.821245e-01
5.655000e+02 -8.571270e-02
5.670000e+02 -1.216041e-01
5.685000e+02 -1.342692e-01
5.700000e+02 -1.933908e-01
5.715000e+02 -1.178639e-01
5.730000e+02 -2.871090e-01
5.745000e+02 -2.739447e-01
5.760000e+02 -1.867194e-01
5.775000e+02 -1.891953e-01
5.790000e+02 -2.948625e-01
5.805000e+02 -3.711984e-01
5.820000e+02 -2.326753e-01
5.835000e+02 -2.719736e-01
5.850000e+02 -2.750204e-01
5.865000e+02 -3.105271e-01
5.880000e+02 -3.991572e-01
5.895000e+02 -4.256722e-01
5.910000e+02 -5.190272e-01
5.925000e+02 -4.245844e-01
5.940000e+02 -3.982711e-01
5.955000e+02 -3.463767e-01
5.970000e+02 -4.404651e-01
5.985000e+02 -4.169474e-01
6.000000e+02 -3.663678e-01
6.015000e+02 -4.121902e-01
6.030000e+02 -5.258849e-01
6.045000e+02 -4.581079e-01
6.060000e+02 -4.604081e-01
6.075000e+02 -5.218792e-01
6.090000e+02 -5.664269e-01
6.105000e+02 -7.089956e-01
6.120000e+02 -6.505402e-01
6.135000e+02 -5.719829e-01
6.150000e+02 -4.014736e-01
6.165000e+02 -5.251362e-01
6.180000e+02 -5.635558e-01
6.195000e+02 -5.900392e-01
6.210000e+02 -4.241413e-01
6.225000e+02 -4.893619e-01
6.240000e+02 -5.423047e-01
6.255000e+02 -6.555049e-01
6.270000e+02 -5.093410e-01
6.285000e+02 -4.830832e-01
6.300000e+02 -6.007552e-01
6.315000e+02 -6.836965e-01
6.330000e+02 -5.153322e-01
6.345000e+02 -4.857863e-01
6.360000e+02 -6.638135e-01
6.375000e+02 -7.692632e-01
6.390000e+02 -4.796891e-01
6.405000e+02 -7.720272e-01
6.420000e+02 -5.406614e-01
6.435000e+02 -5.651009e-01
6.450000e+02 -4.565217e-01
6.465000e+02 -4.199023e-01
6.480000e+02 -5.397169e-01
6.495000e+02 -9.238232e-01
6.510000e+02 -6.402240e-01
6.525000e+02 -8.252677e-01
6.540000e+02 -5.966183e-01
6.555000e+02 -5.465871e-01
6.570000e+02 -4.236746e-01
6.585000e+02 -7.076495e-01
6.600000e+02 -4.554013e-01
6.615000e+02 -6.759382e-01
6.630000e+02 -6.588688e-01
6.645000e+02 -7.198635e-01
6.660000e+02 -5.682055e-01
6.675000e+02 -6.394204e-01
6.690000e+02 -7.310237e-01
6.705000e+02 -6.116481e-01
6.720000e+02 -6.172596e-01
6.735000e+02 -7.559637e-01
6.750000e+02 -7.663848e-01
6.765000e+02 -7.123093e-01
6.780000e+02 -7.086443e-01
6.795000e+02 -5.377112e-01
6.810000e+02 -7.242900e-01
6.825000e+02 -6.214564e-01
6.840000e+02 -6.324121e-01
6.855000e+02 -9.495535e-01
6.870000e+02 -6.757631e-01
6.885000e+02 -5.887097e-01
6.900000e+02 -9.114353e-01
6.915000e+02 -4.326794e-01
6.930000e+02 -8.590017e-01
6.945000e+02 -7.987653e-01
6.960000e+02 -6.931472e-01
6.975000e+02 -8.865740e-01
6.990000e+02 -7.968261e-01
7.005000e+02 -5.025268e-01
7.020000e+02 -4.716702e-01
7.035000e+02 -7.801088e-01
7.050000e+02 -6.668431e-01
7.065000e+02 -5.783479e-01
7.080000e+02 -7.874522e-01
7.095000e+02 -6.156956e-01
7.110000e+02 -8.967602e-01
7.125000e+02 -7.077379e-01
7.140000e+02 -6.725670e-01
7.155000e+02 -6.218413e-01
7.170000e+02 -8.657611e-01
7.185000e+02 -5.577540e-01
7.200000e+02 -8.026684e-01
