REF_ID;ORDEMBD;STUDY_AIM;SPECIES;SP_ORIGIN;POP_STATUS;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;LONGITUDE_X;LATITUDE_Y;PRECISION;UC;ANNUAL_TEMP;ANNUAL_RAIN;ALTITUDE;VEG_TYPE;BUFFER_20KM;OLSONECONAME;OLSONG200R;RIBEIROVEGTYPE;BSRS;METHOD;INST_NAME;COL_STRT_MO;COL_STRT_YR;COL_END_MO;COL_END_YR;LTR_EFF;CAM_EFF;SURV_EFF;;;
REF0803;Agostini_etal_10;OCCUR;Alouatta guariba;Autochtone;NA;Mocona Provincial Park;999;El Soberbio;MISIONES;Argentina;-53.9;-27.15;Precise;Yes;25.3;1761;141;NA;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
REF0803;Agostini_etal_11;OCCUR;Alouatta guariba;Autochtone;NA;Cruce Caballero Provincial Park;522;San Pedro;MISIONES;Argentina;-53.99;-26.51;Precise;Yes;22.7;1863;572;Araucaria forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
REF0805;Agostini_etal_15;OCCUR;Alouatta guariba;Autochtone;NA;Tobuna;NA;San Pedro;MISIONES;Argentina;-53.899892;-26.466453;Not precise;No;22.6;1891;559;NA;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;NA;NA;NA;NA;NA;NA;NA;;;
REF0806;Agostini_etal_16;OCCUR;Alouatta guariba;Autochtone;NA;10 km SW of San Pedro (town);NA;San Pedro;MISIONES;Argentina;-54.034121;-26.689264;Not precise;No;23.6;1809;462;NA;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;NA;NA;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_21;OCCUR;Sapajus nigritus;Autochtone;NA;Guira-Pe Private Reserve;NA;Andresito;MISIONES;Argentina;-54.12;-25.51;Precise;No;25;1765;204;NA;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_22;OCCUR;Sapajus nigritus;Autochtone;NA;Yacutinga Private Reserve;550;SERRANOPOLIS DO IGUACU;PARANA;Argentina;-54.09;-25.6;Precise;Yes;25.1;1757;204;NA;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_23;OCCUR;Sapajus nigritus;Autochtone;NA;Cruce Caballero Provintial Park;522;San Pedro;MISIONES;Argentina;-53.991673;-26.513549;Precise;Yes;22.9;1859;572;NA;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_24;OCCUR;Sapajus nigritus;Autochtone;NA;Mocona Provincial Park;999;El Soberbio;MISIONES;Argentina;-53.9;-27.15;Precise;Yes;25.3;1761;141;NA;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_25;OCCUR;Sapajus nigritus;Autochtone;NA;Curindy Private Reserve;200;ElDorado;MISIONES;Argentina;-54.90944444;-26.83277778;Precise;Yes;25.3;1541;179;NA;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_26;OCCUR;Sapajus nigritus;Autochtone;NA;Parque Provincial Cruce Caballero;522;San Pedro;MISIONES;Argentina;-53.99003333;-26.52093333;Precise;Yes;22.7;1863;572;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;September;2010;NA;NA;4.2 km;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_27;OCCUR;Sapajus nigritus;Autochtone;NA;Parque Provincial Esmeralda;31569;San Pedro;MISIONES;Argentina;-53.88863333;-26.89868333;Precise;Yes;23.6;1840;311;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;August;2010;NA;NA;2.7 km;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_28;OCCUR;Sapajus nigritus;Autochtone;NA;Farm Family Alberto Pico;na;San Pedro;MISIONES;Argentina;-53.9124;-26.74073333;Precise;No;23.2;1855;356;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;August;2010;NA;NA;2 km;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_29;OCCUR;Sapajus nigritus;Autochtone;NA;Reserva Experimental Guarani (Universidad Nacional de Misiones);5343;Guarani;MISIONES;Argentina;-54.2377;-26.94533333;Precise;Yes;23.7;1771;421;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;September;2010;NA;NA;"2.1 km (1st survey); 2.8 km (2nd survey)";;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_30;OCCUR;Sapajus nigritus;Autochtone;NA;Reserva Natural Cultural Papel Misionero;10397;Guarani;MISIONES;Argentina;-54.1761;-26.9837;Precise;Yes;23.5;1796;480;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;September;2010;NA;NA;6.7 km;;;
