"precio","tiempo"
145.08,11.33
200.69,17.81
235.76,15.11
208.13,16.76
133.97,13.9
233.81,21.67
169.24,12.7
187.87,12.45
169.96,23.76
189.87,22.13
155.41,11.32
128.06,8.27
232.97,26.96
209.91,18.17
234.93,22.56
189.1,18.28
166.4,5.61
147.79,8.07
189.76,15.44
171.26,9.73
142.26,9.88
176.08,15.84
199.69,12.16
189.46,14.23
153.62,7.64
170.79,14.14
183.02,17.02
176.03,20.27
213.51,15.18
173.06,7.22
201.75,13.99
170.67,17.21
203.09,17.49
177.48,13.29
226.71,20.89
140.55,7.79
205.99,16.07
187.21,21.98
181.13,11.78
229.61,20.25
127.64,8.93
162.76,10.67
134,9.31
203.2,18.16
150.78,8.22
158.51,12.33
200.65,20.01
224.35,22.64
165.72,13.21
174.05,7.28
172.62,16.38
190.48,18.3
214.83,20.42
166.7,12
147.29,15.58
128.85,8.32
222.37,25.57
137.26,14.52
177.19,13.6
188.76,10.87
213.24,15.18
169.38,15.77
226.81,20.24
147.16,10.03
229.45,14.86
142.07,7.94
213.76,13.82
139.41,12.22
163.42,11.44
208.76,18.89
197.28,9.91
146,14.26
156.8,20.1
187.79,25.75
164.05,15.65
186.45,18.45
236.26,25.94
226.15,19.93
231.37,25.69
200.7,17.49
173.48,6.71
213.08,21.38
198.18,9.28
172.41,13.16
210.79,14.32
112.68,1.8
215.32,22.53
211.25,17.68
147.63,9.65
169.31,14.95
172.26,11.85
174.5,14.21
208.11,23.78
224.96,23.48
215.09,19.33
197.26,13.59
212.78,12.59
265.47,19.41
301.58,28.38
172.38,15.38
190.48,14.08
147.47,15.55
202.41,10.9
191.69,16.86
199.11,11.17
213.32,14.58
153.03,4.95
80.69,4.14
209.16,24.3
201.28,14.9
203.91,16.09
179.1,17.55
186.73,17.19
173.98,9.46
203.61,19.13
148.48,16.06
134.26,7.48
182.07,20.05
192.68,14.37
234.51,24.54
167.83,10.37
210.62,19.51
131.63,5.86
191.79,9.79
130.08,8.4
174.25,11.34
192.21,14.21
197.45,19.6
188.29,17.8
193.35,7.61
190.66,11.74
114.92,8.8
161.86,12.54
155.45,8
157.52,16.55
206.81,19.43
147.59,10.52
202.88,18.4
166,14.73
185.5,18.91
218.61,16.05
182.43,11.65
201.66,18.37
182.46,20.05
223.17,25.19
219.86,25.86
201.6,15.16
163.18,14.41
154.77,12.98
198.12,17.26
207.12,15.93
238.94,18.88
221.06,19.34
187.78,9.93
202.5,14.47
213.78,23.77
182.75,22.09
145.61,18.53
195.03,22.74
136.64,10.92
164.56,13.12
150.55,11.28
181.44,10.97
203.98,20.3
146.79,16.28
168.62,15.36
168.23,17.52
96.56,7.21
118.11,3.34
165.9,12.23
188.37,16.99
197.09,26.51
167.03,18.22
188.38,11.08
173.31,19.61
237.35,21.37
136.17,9.49
172.15,12.96
182.07,18.03
131.85,11.94
211.87,21.55
194.07,12.15
229.5,12.75
194.42,13.66
219.9,17.29
208.35,17.14
197.36,18.14
237.82,23
189.52,19.72
143.61,15.02
187.52,6.45
136.02,12.58
170.11,11.94
189.63,8.85
208.82,20.31
216.75,15.27
229.39,15.85
201.65,12.16
205.03,18.02
190.9,12.14
264.25,17.52
146.27,13.4
188.82,5.37
258.06,20.3
229.74,25.87
196.59,12.02
167.27,6.81
172.69,16.97
143.08,15.44
173.32,13.83
106.3,8.8
215.08,22.56
135.12,15.1
243.43,23.27
186.43,13.49
120.31,5.36
177.68,23.25
244.16,27.04
185.03,11.32
228.44,27.98
200.83,18.54
188.08,19.29
153.24,10.61
172.79,15.3
226.98,16.63
147.14,16.16
187.46,17.6
192.92,16.98
157.47,15.57
185.69,13.65
223.39,17.1
221.92,21.86
219.6,17.82
198.08,12.44
215.08,20.93
171.13,17.24
204.9,15.4
151.42,8.75
179.93,22.78
81.17,5.92
143.37,13.53
203.19,16.6
139.73,12.03
162.89,8.12
199.78,15.6
226.22,19.76
146.59,7.97
188.31,17.62
163.82,13.48
170.18,23.1
124.65,3.75
200.37,13.4
237.71,20.75
272.66,23.82
255.02,19.62
173.9,11.28
201.89,17.23
213.43,16.28
242.75,19.59
245.38,26.24
158.35,13.03
180.18,11.48
112.57,12.39
208.19,12.87
204.4,19.31
198.2,23.44
152.85,5.26
151.93,16.59
150.31,10.73
198.81,22.18
153.64,8.28
162.04,9.29
