"precio","tiempo","varie"
145.08,11.33,1
200.69,17.81,1
235.76,15.11,1
208.13,16.76,1
133.97,13.9,1
233.81,21.67,1
169.24,12.7,1
187.87,12.45,1
169.96,23.76,1
189.87,22.13,1
155.41,11.32,1
128.06,8.27,1
232.97,26.96,1
209.91,18.17,1
234.93,22.56,1
189.1,18.28,1
166.4,5.61,1
147.79,8.07,1
189.76,15.44,1
171.26,9.73,1
142.26,9.88,1
176.08,15.84,1
199.69,12.16,1
189.46,14.23,1
153.62,7.64,1
170.79,14.14,1
183.02,17.02,1
176.03,20.27,1
213.51,15.18,1
173.06,7.22,1
201.75,13.99,1
170.67,17.21,1
203.09,17.49,1
177.48,13.29,1
226.71,20.89,1
140.55,7.79,1
205.99,16.07,1
187.21,21.98,1
181.13,11.78,1
229.61,20.25,1
127.64,8.93,1
162.76,10.67,1
134,9.31,1
203.2,18.16,1
150.78,8.22,1
158.51,12.33,1
200.65,20.01,1
224.35,22.64,1
165.72,13.21,1
174.05,7.28,1
172.62,16.38,1
190.48,18.3,1
214.83,20.42,1
166.7,12,1
147.29,15.58,1
128.85,8.32,1
222.37,25.57,1
137.26,14.52,1
177.19,13.6,1
188.76,10.87,1
213.24,15.18,1
169.38,15.77,1
226.81,20.24,1
147.16,10.03,1
229.45,14.86,1
142.07,7.94,1
213.76,13.82,1
139.41,12.22,1
163.42,11.44,1
208.76,18.89,1
197.28,9.91,1
146,14.26,1
156.8,20.1,1
187.79,25.75,1
164.05,15.65,1
186.45,18.45,1
236.26,25.94,1
226.15,19.93,1
231.37,25.69,1
200.7,17.49,1
173.48,6.71,1
213.08,21.38,1
198.18,9.28,1
172.41,13.16,1
210.79,14.32,1
112.68,1.8,1
215.32,22.53,1
211.25,17.68,1
147.63,9.65,1
169.31,14.95,1
172.26,11.85,1
174.5,14.21,1
208.11,23.78,1
224.96,23.48,1
215.09,19.33,1
197.26,13.59,1
212.78,12.59,1
265.47,19.41,1
301.58,28.38,1
172.38,15.38,1
190.48,14.08,1
147.47,15.55,1
202.41,10.9,1
191.69,16.86,1
199.11,11.17,1
213.32,14.58,1
153.03,4.95,1
80.69,4.14,1
209.16,24.3,1
201.28,14.9,1
203.91,16.09,1
179.1,17.55,1
186.73,17.19,1
173.98,9.46,1
203.61,19.13,1
148.48,16.06,1
134.26,7.48,1
182.07,20.05,1
192.68,14.37,1
234.51,24.54,1
167.83,10.37,1
210.62,19.51,1
131.63,5.86,1
191.79,9.79,1
130.08,8.4,1
174.25,11.34,1
192.21,14.21,1
197.45,19.6,1
188.29,17.8,1
193.35,7.61,1
190.66,11.74,1
114.92,8.8,1
161.86,12.54,1
155.45,8,1
157.52,16.55,1
206.81,19.43,1
147.59,10.52,1
202.88,18.4,1
166,14.73,1
185.5,18.91,1
218.61,16.05,1
182.43,11.65,1
201.66,18.37,1
182.46,20.05,1
223.17,25.19,1
219.86,25.86,1
201.6,15.16,1
163.18,14.41,1
154.77,12.98,1
198.12,17.26,1
207.12,15.93,1
238.94,18.88,1
221.06,19.34,1
187.78,9.93,1
202.5,14.47,1
213.78,23.77,1
182.75,22.09,1
145.61,18.53,1
195.03,22.74,1
136.64,10.92,1
164.56,13.12,1
150.55,11.28,1
181.44,10.97,1
203.98,20.3,1
146.79,16.28,1
168.62,15.36,1
168.23,17.52,1
96.56,7.21,1
118.11,3.34,1
165.9,12.23,1
188.37,16.99,1
197.09,26.51,1
167.03,18.22,1
188.38,11.08,1
173.31,19.61,1
237.35,21.37,1
136.17,9.49,1
172.15,12.96,1
182.07,18.03,1
131.85,11.94,1
211.87,21.55,1
194.07,12.15,1
229.5,12.75,1
194.42,13.66,1
219.9,17.29,1
208.35,17.14,1
197.36,18.14,1
237.82,23,1
189.52,19.72,1
143.61,15.02,1
187.52,6.45,1
136.02,12.58,1
170.11,11.94,1
189.63,8.85,1
208.82,20.31,1
216.75,15.27,1
229.39,15.85,1
201.65,12.16,1
205.03,18.02,1
190.9,12.14,1
264.25,17.52,1
146.27,13.4,1
188.82,5.37,1
258.06,20.3,1
229.74,25.87,1
196.59,12.02,1
167.27,6.81,1
172.69,16.97,1
143.08,15.44,1
173.32,13.83,1
106.3,8.8,1
215.08,22.56,1
135.12,15.1,1
243.43,23.27,1
186.43,13.49,1
120.31,5.36,1
177.68,23.25,1
244.16,27.04,1
185.03,11.32,1
228.44,27.98,1
200.83,18.54,1
188.08,19.29,1
153.24,10.61,1
172.79,15.3,1
226.98,16.63,1
147.14,16.16,1
187.46,17.6,1
192.92,16.98,1
157.47,15.57,1
185.69,13.65,1
223.39,17.1,1
221.92,21.86,1
219.6,17.82,1
198.08,12.44,1
215.08,20.93,1
171.13,17.24,1
204.9,15.4,1
151.42,8.75,1
179.93,22.78,1
81.17,5.92,1
143.37,13.53,1
203.19,16.6,1
139.73,12.03,1
162.89,8.12,1
199.78,15.6,1
226.22,19.76,1
146.59,7.97,1
188.31,17.62,1
163.82,13.48,1
170.18,23.1,1
124.65,3.75,1
200.37,13.4,1
237.71,20.75,1
272.66,23.82,1
255.02,19.62,1
173.9,11.28,1
201.89,17.23,1
213.43,16.28,1
242.75,19.59,1
245.38,26.24,1
158.35,13.03,1
180.18,11.48,1
112.57,12.39,1
208.19,12.87,1
204.4,19.31,1
198.2,23.44,1
152.85,5.26,1
151.93,16.59,1
150.31,10.73,1
198.81,22.18,1
153.64,8.28,1
162.04,9.29,1
165.32,15.53,1
231.13,23.93,1
133.85,8.55,1
198.24,19.33,1
227.91,18.85,1
167.79,14.85,1
142.65,9.39,1
228.81,19.98,1
187.2,7.03,1
188.47,21.24,1
216.26,23.3,1
193.26,18.41,1
130.35,11.33,1
201,16.45,1
146.39,10.21,1
