"country" "income" "child" "life" "gini" "energy" "dtp3.2010" "school" "hdi" "status"
"1" "Afghanistan" 1750 73.2 57.9 NA NA 66 3.59 0.479 "not.developed"
"2" "Albania" 11000 14 77.6 NA NA 99 12 0.764 "developed"
"3" "Algeria" 13700 25.5 77.3 NA NA 95 6.16 0.745 "not.developed"
"4" "Andorra" 46600 2.8 82.5 NA NA 99 13.6 0.858 "developed"
"5" "Angola" 6230 86.5 64 NA NA 91 7.13 0.533 "not.developed"
"6" "Antigua and Barbuda" 20100 8.7 77.2 NA NA 98 12.9 0.786 "developed"
"7" "Argentina" 19100 11.6 76.5 NA NA 94 11.4 0.827 "developed"
"8" "Armenia" 8180 14 75.4 32.4 NA 94 12.5 0.743 "not.developed"
"9" "Australia" 43800 3.8 82.6 NA 5480 92 14 0.939 "developed"
"10" "Austria" 44100 3.6 81.4 30.5 3800 83 13.1 0.893 "developed"
"11" "Azerbaijan" 16700 32 71.8 NA NA 72 13.1 0.759 "developed"
"12" "Bahamas" 21700 11 73.6 NA NA 99 12.3 0.792 "developed"
"13" "Bahrain" 44500 7.7 76.8 NA NA 99 9.54 0.824 "developed"
"14" "Bangladesh" 3130 36.3 72.4 NA NA 95 5.7 0.579 "not.developed"
"15" "Barbados" 15400 12.6 76.6 NA NA 86 9.32 0.795 "developed"
"16" "Belarus" 17200 4 73.3 26.7 NA 98 14.1 0.796 "developed"
"17" "Belgium" 41700 4 80.9 27.7 4690 99 13.7 0.896 "developed"
"18" "Belize" 8060 15.6 71.9 NA NA 96 9.33 0.706 "not.developed"
"19" "Benin" 1990 100 63.9 47.8 NA 83 4.94 0.485 "not.developed"
"20" "Bhutan" 7740 33.6 73.8 NA NA 91 5.78 0.607 "not.developed"
"21" "Bolivia" 6530 38.2 73 46.7 NA 80 9.83 0.674 "not.developed"
"22" "Bosnia and Herzegovina" 10900 6.1 77.4 32.7 NA 89 11.3 0.75 "developed"
"23" "Botswana" 15400 42.1 64.6 NA NA 96 6.52 0.698 "not.developed"
"24" "Brazil" 14700 15.7 75.2 51.3 NA 98 7.68 0.754 "developed"
"25" "Brunei" 74600 10 76.9 NA NA 95 13.8 0.865 "developed"
"26" "Bulgaria" 17000 8.2 75 NA NA 94 12.7 0.794 "developed"
"27" "Burkina Faso" 1550 88.5 60.3 NA NA 91 2.18 0.402 "not.developed"
"28" "Burundi" 749 74.6 60 NA NA 96 4.66 0.404 "not.developed"
"29" "Cambodia" 3290 32 68.3 NA NA 92 6.55 0.563 "not.developed"
"30" "Cameroon" 2990 83.3 59.7 NA NA 68 8.23 0.518 "not.developed"
"31" "Canada" 43000 5.1 81.7 NA 7600 95 15.3 0.92 "developed"
"32" "Cape Verde" 5920 22.2 73.4 NA NA 99 6.12 0.648 "not.developed"
"33" "Central African Republic" 626 129 49.7 NA NA 54 6.7 0.352 "not.developed"
"34" "Chad" 2050 131 59.2 NA NA 35 3.63 0.396 "not.developed"
"35" "Chile" 22500 8.4 80.1 47.7 2030 92 11.9 0.847 "developed"
"36" "China" 13600 10.7 76.3 NA NA 99 10.4 0.738 "not.developed"
"37" "Colombia" 13000 15.8 78 51.1 NA 88 9.23 0.727 "not.developed"
"38" "Comoros" 1410 75.8 67.3 NA NA 74 5.86 0.498 "not.developed"
"39" "Congo, Dem. Rep." 750 97.6 60.9 NA NA 58 9 0.435 "not.developed"
"40" "Congo, Rep." 5540 55.4 62.6 NA NA 90 10.5 0.592 "not.developed"
"41" "Costa Rica" 14900 9.1 80.9 48.4 NA 91 9.55 0.776 "developed"
"42" "Cote d'Ivoire" 3250 95.1 59.2 41.5 NA 85 5.67 0.474 "not.developed"
"43" "Croatia" 20600 4.8 77.3 30.8 NA 97 11.8 0.827 "developed"
"44" "Cuba" 20000 5.6 78.9 NA NA 96 12.3 0.775 "developed"
"45" "Cyprus" 30400 2.7 80.5 34 NA 99 13.8 0.856 "developed"
"46" "Czech Republic" 30400 3.2 78.9 25.9 3860 99 14.2 0.878 "developed"
"47" "Denmark" 45500 4.3 80.7 28.2 2820 90 14.6 0.925 "developed"
"48" "Djibouti" 3140 66.2 66.1 NA NA 88 7.09 0.473 "not.developed"
"49" "Dominica" 10100 33 71.7 NA NA 98 10.6 0.726 "not.developed"
"50" "Dominican Republic" 13400 31.5 75.5 44.7 NA 88 9.43 0.722 "not.developed"
"51" "Ecuador" 10800 21.5 77.9 46 NA 99 10.1 0.739 "not.developed"
"52" "Egypt" 10100 23.7 71.9 31.8 NA 97 9.78 0.691 "not.developed"
"53" "El Salvador" 7840 15.5 75 40.6 NA 92 8.68 0.68 "not.developed"
"54" "Equatorial Guinea" 27200 94 65.2 NA NA 33 9.59 0.592 "not.developed"
"55" "Eritrea" 1240 45.9 63.4 NA NA 99 4.54 0.42 "not.developed"
"56" "Estonia" 27300 3.1 77.2 32.7 4170 94 13.7 0.865 "developed"
"57" "Ethiopia" 1530 61.3 65.2 39.1 NA 50 4.95 0.448 "not.developed"
"58" "Fiji" 8760 22.5 65.5 NA NA 99 10.9 0.736 "not.developed"
"59" "Finland" 39000 2.4 81.5 27.1 5920 99 14.1 0.895 "developed"
"60" "France" 37800 3.9 82.2 32.7 3690 99 12.5 0.897 "developed"
"61" "Gabon" 16800 50.6 66 NA NA 45 9.55 0.697 "not.developed"
"62" "Gambia" 1590 67.5 67 35.9 NA 97 5.06 0.452 "not.developed"
"63" "Georgia" 9020 11.4 73.7 36.4 NA 91 13.9 0.769 "developed"
"64" "Germany" 43800 3.9 80.8 31.7 3820 99 13.8 0.926 "developed"
"65" "Ghana" 3930 61 65.4 NA NA 94 8.68 0.579 "not.developed"
