fixed.acidity,density,sulphates,alcohol
7.4,0.9978,0.56,9.4
7.8,0.9968,0.68,9.8
7.8,0.997,0.65,9.8
11.2,0.998,0.58,9.8
7.4,0.9978,0.56,9.4
7.4,0.9978,0.56,9.4
7.9,0.9964,0.46,9.4
7.3,0.9946,0.47,10
7.8,0.9968,0.57,9.5
7.5,0.9978,0.8,10.5
6.7,0.9959,0.54,9.2
7.5,0.9978,0.8,10.5
5.6,0.9943,0.52,9.9
8.9,0.9986,0.88,9.2
8.9,0.9986,0.93,9.2
8.5,0.9969,0.75,10.5
7.4,0.9974,0.5,9
7.9,0.9969,1.08,9.2
8.9,0.9968,0.53,9.4
7.6,0.9982,0.65,9.7
7.9,0.9966,0.91,9.5
8.5,0.9968,0.53,9.4
6.9,0.9968,0.63,9.7
6.3,0.9955,0.56,9.3
7.6,0.9962,0.59,9.5
7.9,0.9966,0.91,9.5
7.1,0.9972,0.55,9.4
7.8,0.9964,0.59,9.8
6.7,0.9958,0.54,10.1
6.9,0.9966,0.57,10.6
8.3,0.9966,0.66,9.8
6.9,0.9993,0.52,9.4
5.2,0.9957,0.55,9.2
7.8,0.9986,0.55,9.6
7.8,0.9975,0.6,10.8
8.1,0.9968,0.73,9.7
5.7,0.994,0.48,9.8
7.3,0.9978,0.83,10.5
7.3,0.9978,0.83,10.5
8.8,0.9976,0.51,9.3
7.5,0.9968,0.9,10.5
6.8,0.9962,0.52,9.5
4.6,0.9934,0.56,13.1
7.7,0.997,0.73,9.2
8.7,0.9969,0.58,9.5
6.4,0.9958,0.56,9.2
5.6,0.9954,0.58,9.2
8.8,0.9971,0.74,9.2
6.6,0.9956,0.63,9.4
6.6,0.9955,0.64,9.4
8.6,0.997,0.56,9.4
7.6,0.9955,0.63,10.2
7.7,0.9978,0.53,9.5
10.2,0.9971,0.63,9.6
7.5,0.9983,0.77,9.4
7.8,0.9975,0.59,10
7.3,0.9962,0.54,9.4
8.8,0.998,0.64,9.2
7.7,0.9968,0.71,9.3
7.5,0.9968,0.62,9.5
7,0.9966,0.57,9.8
7.2,0.9962,0.39,10.9
7.2,0.9962,0.39,10.9
7.5,0.9968,0.58,9.6
6.6,0.9962,0.58,10.7
9.3,0.9969,0.79,10.7
8,0.9962,0.95,10.5
7.7,0.9967,0.54,9.5
7.7,0.9962,0.48,9.5
7.7,0.9961,0.48,9.5
8.3,0.9976,0.53,9.2
9.7,0.9984,0.82,9.6
8.8,0.9986,0.66,10.5
8.8,0.9986,0.66,10.5
6.8,0.9966,0.55,10.7
6.7,0.9958,0.52,10.1
8.3,0.9972,1.12,9.1
6.2,0.9958,0.56,9.2
7.4,0.997,0.57,9.1
7.3,0.9969,1.14,9.4
6.3,0.9959,0.78,10.3
6.9,0.9961,0.59,10.1
7.7,0.9966,0.64,9.6
7,0.9978,0.53,9
7.9,0.9964,0.54,9.5
7.7,0.9966,0.64,9.6
5,0.9938,0.48,10.5
4.7,0.9932,0.6,12.9
6.8,0.9965,0.56,10.7
7,0.9963,0.63,9.2
7.6,0.9967,0.56,9.8
8.1,0.9972,0.59,9
